1, none, minecraft:the_void, MONSTER, starvingskeleton:starving_skeleton, 10, 1, 4
55, none, minecraft:the_void, MONSTER, the_anomaly:anomaly_trap, 80, 1, 1
56, none, minecraft:the_void, MONSTER, midnightlurker:midnight_lurker_shadow_eyes, 10, 1, 1
57, none, minecraft:the_void, MONSTER, builder_bear:scp_1048_c, 10, 1, 1
58, none, minecraft:the_void, CREATURE, midnightlurker:shape_shifter_cow, 10, 1, 1
59, none, minecraft:the_void, CREATURE, midnightlurker:shapeshifter_pig, 10, 1, 1
60, none, minecraft:the_void, AMBIENT, midnightlurker:invisible_footsteps, 10, 1, 1
61, none, minecraft:the_void, AMBIENT, midnightlurker:invisible_animal_killer, 10, 1, 1
62, none, minecraft:the_void, AMBIENT, midnightlurker:invisible_lurker_footsteps, 10, 1, 1
63, none, minecraft:the_void, AMBIENT, alexsmobs:fly, 10, 2, 3
64, none, minecraft:the_void, AMBIENT, midnightlurker:void_gateway, 10, 1, 1
65, none, minecraft:the_void, AMBIENT, midnightlurker:midnight_lurker_shapeshifter, 10, 1, 1
66, none, minecraft:the_void, AMBIENT, midnightlurker:void_hands, 10, 1, 1
67, none, minecraft:the_void, AMBIENT, midnightlurker:invisible_shadow, 10, 1, 1
68, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
69, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
70, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
71, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
72, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
73, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
74, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
75, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
76, plains, minecraft:plains, MONSTER, with_many_voices:with_many_voices, 40, 3, 5
77, plains, minecraft:plains, MONSTER, starvingskeleton:starving_skeleton, 10, 1, 4
78, plains, minecraft:plains, MONSTER, midnightlurker:midnightlurker_ne, 10, 1, 1
79, plains, minecraft:plains, MONSTER, theticklemonste:tickle_monster, 10, 1, 1
80, plains, minecraft:plains, MONSTER, peripheral_jumper:peripheral_jumper_jumpscare_trigger, 10, 1, 1
81, plains, minecraft:plains, MONSTER, the_anomaly:ent_attack_animal, 20, 4, 4
82, plains, minecraft:plains, MONSTER, midnightlurker:midnight_lurker_watcher, 15, 1, 1
83, plains, minecraft:plains, MONSTER, midnightlurker:midnight_lurker_unprovoked, 15, 1, 1
84, plains, minecraft:plains, MONSTER, blanketghost:blanket_ghost, 10, 1, 1
85, plains, minecraft:plains, MONSTER, midnightlurker:invisible_cave_sounds, 10, 1, 1
86, plains, minecraft:plains, MONSTER, burning_man:burning_man, 10, 1, 1
87, plains, minecraft:plains, MONSTER, thepossessivemask:the_possessive_mask_host, 10, 1, 1
88, plains, minecraft:plains, MONSTER, boh:michael_davies, 20, 4, 4
89, plains, minecraft:plains, MONSTER, midnightlurker:spookyambienceentity, 10, 1, 1
90, plains, minecraft:plains, MONSTER, the_cuckoo_clock:trigger, 10, 1, 1
91, plains, minecraft:plains, MONSTER, graveyard:nightmare, 10, 1, 1
92, plains, minecraft:plains, MONSTER, midnightlurker:midnight_lurker_seen_angressive, 10, 1, 1
93, plains, minecraft:plains, MONSTER, the_anomaly:anomaly_escape, 80, 1, 1
94, plains, minecraft:plains, MONSTER, the_cuckoo_clock:chuckoo_clock, 10, 1, 1
95, plains, minecraft:plains, MONSTER, humans_refuted:humans_refuted, 10, 1, 4
96, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
97, plains, minecraft:plains, MONSTER, alexsmobs:farseer, 30, 1, 1
98, plains, minecraft:plains, MONSTER, alexsmobs:murmur, 10, 1, 1
99, plains, minecraft:plains, MONSTER, theboogeyman:stalking_boogeyman, 10, 1, 1
100, plains, minecraft:plains, MONSTER, hardtodestroyreptile:the_hard_to_destroy_reptile, 10, 1, 1
101, plains, minecraft:plains, MONSTER, midnightlurker:midnight_lurker_creep, 15, 1, 1
102, plains, minecraft:plains, MONSTER, midnightlurker:midnight_lurker_backturned, 15, 1, 1
103, plains, minecraft:plains, MONSTER, midnightlurker:invisible_static, 10, 1, 1
104, plains, minecraft:plains, MONSTER, midnightlurker:midnight_lurker_hider, 10, 1, 1
105, plains, minecraft:plains, MONSTER, tr_slender:slenderman, 25, 1, 1
106, plains, minecraft:plains, MONSTER, antlers:wendigo, 20, 1, 1
107, plains, minecraft:plains, MONSTER, sleep_killer:sleep_killer, 10, 1, 4
108, plains, minecraft:plains, MONSTER, the_anomaly:anomaly_shadow, 80, 1, 1
109, plains, minecraft:plains, MONSTER, midnightlurker:midnight_lurker_stalking, 15, 1, 1
110, plains, minecraft:plains, MONSTER, midnightlurker:midnight_lurker_invisible, 10, 1, 1
111, plains, minecraft:plains, MONSTER, midnightlurker:midnight_lurker_stare, 15, 1, 1
112, plains, minecraft:plains, MONSTER, the_anomaly:anomaly_visitor_2, 80, 1, 1
113, plains, minecraft:plains, MONSTER, the_anomaly:anomaly_visitor, 80, 1, 1
114, plains, minecraft:plains, MONSTER, the_anomaly:anomaly_viewer, 80, 1, 1
115, plains, minecraft:plains, MONSTER, midnightlurker:midnight_lurker_faker_watcher, 10, 1, 1
116, plains, minecraft:plains, MONSTER, midnightlurker:midnight_phantom_head, 12, 1, 1
117, plains, minecraft:plains, MONSTER, midnightlurker:midnight_lurker_faker, 10, 1, 1
118, plains, minecraft:plains, MONSTER, the_cuckoo_clock:chuckoo_clock_spawn, 10, 1, 1
119, plains, minecraft:plains, MONSTER, peripheral_jumper:peripheral_jumper, 10, 1, 1
120, plains, minecraft:plains, MONSTER, eyesinthedark:eyes_in_the_dark, 10, 1, 1
121, plains, minecraft:plains, MONSTER, red_sea_object:scp_093, 10, 1, 1
122, plains, minecraft:plains, MONSTER, builder_bear:scp_1048_b, 10, 1, 1
123, plains, minecraft:plains, MONSTER, theoldman:trigger, 10, 1, 1
124, plains, minecraft:plains, MONSTER, eye_pods:eye_pod_spawn, 10, 1, 1
125, plains, minecraft:plains, MONSTER, the_sculpture:the_sculpture, 10, 1, 1
126, plains, minecraft:plains, MONSTER, shy_guy:shy_guy, 10, 1, 1
127, plains, minecraft:plains, MONSTER, theoldman:the_old_man_trigger, 10, 1, 1
128, plains, minecraft:plains, MONSTER, red_sea_object:scp_093_b, 10, 1, 4
129, plains, minecraft:plains, MONSTER, builder_bear:builder_bear, 10, 1, 1
130, plains, minecraft:plains, MONSTER, builder_bear:scp_1048_a, 10, 1, 1
131, plains, minecraft:plains, MONSTER, erics_toy:erics_toy, 10, 1, 1
132, plains, minecraft:plains, MONSTER, midnightlurker:midnight_lurker_runaway, 15, 1, 1
133, plains, minecraft:plains, MONSTER, theplaguedoctor:plague_doctor, 10, 1, 1
134, plains, minecraft:plains, MONSTER, the_anomaly:anomaly_shadow_stalker, 80, 1, 1
135, plains, minecraft:plains, MONSTER, midnightlurker:midnight_lurker_faker_aggro, 10, 1, 1
136, plains, minecraft:plains, MONSTER, the_cuckoo_clock:stalking_chuckoo_clock, 20, 1, 1
137, plains, minecraft:plains, MONSTER, theboogeyman:boogeyman_hallucination, 10, 1, 1
138, plains, minecraft:plains, MONSTER, the_sculpture:mexican_sculpture, 10, 1, 1
139, plains, minecraft:plains, MONSTER, midnightlurker:midnight_lurker_shadow, 10, 1, 1
140, plains, minecraft:plains, MONSTER, the_anomaly:anomaly_trap, 80, 1, 1
141, plains, minecraft:plains, MONSTER, midnightlurker:midnight_lurker_shadow_eyes, 10, 1, 1
142, plains, minecraft:plains, MONSTER, builder_bear:scp_1048_c, 10, 1, 1
143, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 8, 8
144, plains, minecraft:plains, CREATURE, minecraft:pig, 10, 8, 8
145, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 8, 8
146, plains, minecraft:plains, CREATURE, minecraft:cow, 10, 8, 8
147, plains, minecraft:plains, CREATURE, minecraft:horse, 10, 2, 6
148, plains, minecraft:plains, CREATURE, minecraft:donkey, 10, 1, 3
149, plains, minecraft:plains, CREATURE, midnightlurker:shape_shifter_cow, 10, 1, 1
150, plains, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
151, plains, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
152, plains, minecraft:plains, CREATURE, alexsmobs:bison, 10, 6, 10
153, plains, minecraft:plains, CREATURE, thestairwell:stairwell_spawn, 10, 1, 1
154, plains, minecraft:plains, CREATURE, midnightlurker:shapeshifter_pig, 10, 1, 1
155, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
156, plains, minecraft:plains, AMBIENT, midnightlurker:invisible_footsteps, 10, 1, 1
157, plains, minecraft:plains, AMBIENT, midnightlurker:invisible_animal_killer, 10, 1, 1
158, plains, minecraft:plains, AMBIENT, midnightlurker:invisible_lurker_footsteps, 10, 1, 1
159, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 10, 2, 3
160, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
161, plains, minecraft:plains, AMBIENT, midnightlurker:void_gateway, 10, 1, 1
162, plains, minecraft:plains, AMBIENT, midnightlurker:midnight_lurker_shapeshifter, 10, 1, 1
163, plains, minecraft:plains, AMBIENT, midnightlurker:void_hands, 10, 1, 1
164, plains, minecraft:plains, AMBIENT, midnightlurker:invisible_shadow, 10, 1, 1
165, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
166, plains, minecraft:plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
167, plains, minecraft:plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
168, plains, minecraft:plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
169, plains, minecraft:plains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
170, plains, minecraft:plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
171, plains, minecraft:plains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
172, plains, minecraft:plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
173, plains, minecraft:plains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
174, plains, minecraft:plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
175, plains, minecraft:plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
176, none, minecraft:sunflower_plains, MONSTER, minecraft:spider, 80, 4, 4
177, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 80, 4, 4
178, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
179, none, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 80, 4, 4
180, none, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 80, 4, 4
181, none, minecraft:sunflower_plains, MONSTER, minecraft:slime, 80, 4, 4
182, none, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 5, 1, 4
183, none, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
184, none, minecraft:sunflower_plains, MONSTER, with_many_voices:with_many_voices, 40, 3, 5
185, none, minecraft:sunflower_plains, MONSTER, starvingskeleton:starving_skeleton, 10, 1, 4
186, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnightlurker_ne, 10, 1, 1
187, none, minecraft:sunflower_plains, MONSTER, theticklemonste:tickle_monster, 10, 1, 1
188, none, minecraft:sunflower_plains, MONSTER, peripheral_jumper:peripheral_jumper_jumpscare_trigger, 10, 1, 1
189, none, minecraft:sunflower_plains, MONSTER, the_anomaly:ent_attack_animal, 20, 4, 4
190, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_lurker_watcher, 15, 1, 1
191, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_lurker_unprovoked, 15, 1, 1
192, none, minecraft:sunflower_plains, MONSTER, blanketghost:blanket_ghost, 10, 1, 1
193, none, minecraft:sunflower_plains, MONSTER, midnightlurker:invisible_cave_sounds, 10, 1, 1
194, none, minecraft:sunflower_plains, MONSTER, burning_man:burning_man, 10, 1, 1
195, none, minecraft:sunflower_plains, MONSTER, thepossessivemask:the_possessive_mask_host, 10, 1, 1
196, none, minecraft:sunflower_plains, MONSTER, boh:michael_davies, 20, 4, 4
197, none, minecraft:sunflower_plains, MONSTER, midnightlurker:spookyambienceentity, 10, 1, 1
198, none, minecraft:sunflower_plains, MONSTER, the_cuckoo_clock:trigger, 10, 1, 1
199, none, minecraft:sunflower_plains, MONSTER, graveyard:nightmare, 10, 1, 1
200, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_lurker_seen_angressive, 10, 1, 1
201, none, minecraft:sunflower_plains, MONSTER, the_anomaly:anomaly_escape, 80, 1, 1
202, none, minecraft:sunflower_plains, MONSTER, the_cuckoo_clock:chuckoo_clock, 10, 1, 1
203, none, minecraft:sunflower_plains, MONSTER, humans_refuted:humans_refuted, 10, 1, 4
204, none, minecraft:sunflower_plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
205, none, minecraft:sunflower_plains, MONSTER, alexsmobs:farseer, 30, 1, 1
206, none, minecraft:sunflower_plains, MONSTER, alexsmobs:murmur, 10, 1, 1
207, none, minecraft:sunflower_plains, MONSTER, theboogeyman:stalking_boogeyman, 10, 1, 1
208, none, minecraft:sunflower_plains, MONSTER, hardtodestroyreptile:the_hard_to_destroy_reptile, 10, 1, 1
209, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_lurker_creep, 15, 1, 1
210, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_lurker_backturned, 15, 1, 1
211, none, minecraft:sunflower_plains, MONSTER, midnightlurker:invisible_static, 10, 1, 1
212, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_lurker_hider, 10, 1, 1
213, none, minecraft:sunflower_plains, MONSTER, tr_slender:slenderman, 25, 1, 1
214, none, minecraft:sunflower_plains, MONSTER, antlers:wendigo, 20, 1, 1
215, none, minecraft:sunflower_plains, MONSTER, sleep_killer:sleep_killer, 10, 1, 4
216, none, minecraft:sunflower_plains, MONSTER, the_anomaly:anomaly_shadow, 80, 1, 1
217, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_lurker_stalking, 15, 1, 1
218, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_lurker_invisible, 10, 1, 1
219, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_lurker_stare, 15, 1, 1
220, none, minecraft:sunflower_plains, MONSTER, the_anomaly:anomaly_visitor_2, 80, 1, 1
221, none, minecraft:sunflower_plains, MONSTER, the_anomaly:anomaly_visitor, 80, 1, 1
222, none, minecraft:sunflower_plains, MONSTER, the_anomaly:anomaly_viewer, 80, 1, 1
223, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_lurker_faker_watcher, 10, 1, 1
224, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_phantom_head, 12, 1, 1
225, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_lurker_faker, 10, 1, 1
226, none, minecraft:sunflower_plains, MONSTER, the_cuckoo_clock:chuckoo_clock_spawn, 10, 1, 1
227, none, minecraft:sunflower_plains, MONSTER, peripheral_jumper:peripheral_jumper, 10, 1, 1
228, none, minecraft:sunflower_plains, MONSTER, eyesinthedark:eyes_in_the_dark, 10, 1, 1
229, none, minecraft:sunflower_plains, MONSTER, red_sea_object:scp_093, 10, 1, 1
230, none, minecraft:sunflower_plains, MONSTER, builder_bear:scp_1048_b, 10, 1, 1
231, none, minecraft:sunflower_plains, MONSTER, theoldman:trigger, 10, 1, 1
232, none, minecraft:sunflower_plains, MONSTER, eye_pods:eye_pod_spawn, 10, 1, 1
233, none, minecraft:sunflower_plains, MONSTER, the_sculpture:the_sculpture, 10, 1, 1
234, none, minecraft:sunflower_plains, MONSTER, shy_guy:shy_guy, 10, 1, 1
235, none, minecraft:sunflower_plains, MONSTER, theoldman:the_old_man_trigger, 10, 1, 1
236, none, minecraft:sunflower_plains, MONSTER, red_sea_object:scp_093_b, 10, 1, 4
237, none, minecraft:sunflower_plains, MONSTER, builder_bear:builder_bear, 10, 1, 1
238, none, minecraft:sunflower_plains, MONSTER, builder_bear:scp_1048_a, 10, 1, 1
239, none, minecraft:sunflower_plains, MONSTER, erics_toy:erics_toy, 10, 1, 1
240, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_lurker_runaway, 15, 1, 1
241, none, minecraft:sunflower_plains, MONSTER, theplaguedoctor:plague_doctor, 10, 1, 1
242, none, minecraft:sunflower_plains, MONSTER, the_anomaly:anomaly_shadow_stalker, 80, 1, 1
243, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_lurker_faker_aggro, 10, 1, 1
244, none, minecraft:sunflower_plains, MONSTER, the_cuckoo_clock:stalking_chuckoo_clock, 20, 1, 1
245, none, minecraft:sunflower_plains, MONSTER, theboogeyman:boogeyman_hallucination, 10, 1, 1
246, none, minecraft:sunflower_plains, MONSTER, the_sculpture:mexican_sculpture, 10, 1, 1
247, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_lurker_shadow, 10, 1, 1
248, none, minecraft:sunflower_plains, MONSTER, the_anomaly:anomaly_trap, 80, 1, 1
249, none, minecraft:sunflower_plains, MONSTER, midnightlurker:midnight_lurker_shadow_eyes, 10, 1, 1
250, none, minecraft:sunflower_plains, MONSTER, builder_bear:scp_1048_c, 10, 1, 1
251, none, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 8, 8
252, none, minecraft:sunflower_plains, CREATURE, minecraft:pig, 10, 8, 8
253, none, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 10, 8, 8
254, none, minecraft:sunflower_plains, CREATURE, minecraft:cow, 10, 8, 8
255, none, minecraft:sunflower_plains, CREATURE, minecraft:horse, 10, 2, 6
256, none, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 10, 1, 3
257, none, minecraft:sunflower_plains, CREATURE, midnightlurker:shape_shifter_cow, 10, 1, 1
258, none, minecraft:sunflower_plains, CREATURE, alexsmobs:hummingbird, 19, 7, 7
259, none, minecraft:sunflower_plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
260, none, minecraft:sunflower_plains, CREATURE, alexsmobs:crow, 10, 3, 5
261, none, minecraft:sunflower_plains, CREATURE, alexsmobs:bison, 10, 6, 10
262, none, minecraft:sunflower_plains, CREATURE, thestairwell:stairwell_spawn, 10, 1, 1
263, none, minecraft:sunflower_plains, CREATURE, midnightlurker:shapeshifter_pig, 10, 1, 1
264, none, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
265, none, minecraft:sunflower_plains, AMBIENT, midnightlurker:invisible_footsteps, 10, 1, 1
266, none, minecraft:sunflower_plains, AMBIENT, midnightlurker:invisible_animal_killer, 10, 1, 1
267, none, minecraft:sunflower_plains, AMBIENT, midnightlurker:invisible_lurker_footsteps, 10, 1, 1
268, none, minecraft:sunflower_plains, AMBIENT, alexsmobs:fly, 10, 2, 3
269, none, minecraft:sunflower_plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
270, none, minecraft:sunflower_plains, AMBIENT, midnightlurker:void_gateway, 10, 1, 1
271, none, minecraft:sunflower_plains, AMBIENT, midnightlurker:midnight_lurker_shapeshifter, 10, 1, 1
272, none, minecraft:sunflower_plains, AMBIENT, midnightlurker:void_hands, 10, 1, 1
273, none, minecraft:sunflower_plains, AMBIENT, midnightlurker:invisible_shadow, 10, 1, 1
274, none, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
275, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
276, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
277, none, minecraft:sunflower_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
278, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
279, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
280, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
281, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
282, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
283, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
284, none, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
285, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 80, 4, 4
286, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 80, 4, 4
287, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
288, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
289, icy, minecraft:snowy_plains, MONSTER, minecraft:creeper, 80, 4, 4
290, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 80, 4, 4
291, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 5, 1, 4
292, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
293, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 80, 4, 4
294, icy, minecraft:snowy_plains, MONSTER, with_many_voices:with_many_voices, 40, 3, 5
295, icy, minecraft:snowy_plains, MONSTER, starvingskeleton:starving_skeleton, 10, 1, 4
296, icy, minecraft:snowy_plains, MONSTER, midnightlurker:midnightlurker_ne, 10, 1, 1
297, icy, minecraft:snowy_plains, MONSTER, theticklemonste:tickle_monster, 10, 1, 1
298, icy, minecraft:snowy_plains, MONSTER, peripheral_jumper:peripheral_jumper_jumpscare_trigger, 10, 1, 1
299, icy, minecraft:snowy_plains, MONSTER, the_anomaly:ent_attack_animal, 20, 4, 4
300, icy, minecraft:snowy_plains, MONSTER, midnightlurker:midnight_lurker_watcher, 15, 1, 1
301, icy, minecraft:snowy_plains, MONSTER, midnightlurker:midnight_lurker_unprovoked, 15, 1, 1
302, icy, minecraft:snowy_plains, MONSTER, blanketghost:blanket_ghost, 10, 1, 1
303, icy, minecraft:snowy_plains, MONSTER, midnightlurker:invisible_cave_sounds, 10, 1, 1
304, icy, minecraft:snowy_plains, MONSTER, burning_man:burning_man, 10, 1, 1
305, icy, minecraft:snowy_plains, MONSTER, thepossessivemask:the_possessive_mask_host, 10, 1, 1
306, icy, minecraft:snowy_plains, MONSTER, boh:michael_davies, 20, 4, 4
307, icy, minecraft:snowy_plains, MONSTER, midnightlurker:spookyambienceentity, 10, 1, 1
308, icy, minecraft:snowy_plains, MONSTER, the_cuckoo_clock:trigger, 10, 1, 1
309, icy, minecraft:snowy_plains, MONSTER, graveyard:nightmare, 10, 1, 1
