1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
43, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
44, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
45, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
46, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
47, explorations:shrine, HEADING, header:ignore, 0, 0, 0
48, explorify:dark_forest_settlement, HEADING, header:ignore, 0, 0, 0
49, betterjungletemples:jungle_temple, HEADING, header:ignore, 0, 0, 0
50, the_silence:vhs_ecos, HEADING, header:ignore, 0, 0, 0
51, weeping_angels:catacombs, HEADING, header:ignore, 0, 0, 0
52, weeping_angels:catacombs, MONSTER, weeping_angels:weeping_angel, 30, 1, 4
53, betterfortresses:fortress, HEADING, header:ignore, 0, 0, 0
54, betterfortresses:fortress, MONSTER, minecraft:blaze, 10, 2, 3
55, betterfortresses:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
56, betterfortresses:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
57, betterfortresses:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
58, betterfortresses:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
59, explorify:mangrove_hut, HEADING, header:ignore, 0, 0, 0
60, terralith:spire, HEADING, header:ignore, 0, 0, 0
61, terralith:fortified_village, HEADING, header:ignore, 0, 0, 0
62, terralith:fortified_desert_village, HEADING, header:ignore, 0, 0, 0
63, explorify:guide_post_cold, HEADING, header:ignore, 0, 0, 0
64, explorify:guide_post_warm, HEADING, header:ignore, 0, 0, 0
65, explorify:end_shipwreck, HEADING, header:ignore, 0, 0, 0
66, explorations:large_oak_tree, HEADING, header:ignore, 0, 0, 0
67, tr_slender:largerocks, HEADING, header:ignore, 0, 0, 0
68, terralith:underground/frosted_dungeon, HEADING, header:ignore, 0, 0, 0
69, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
70, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 80, 4, 15
71, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
72, antlers:cabin, HEADING, header:ignore, 0, 0, 0
73, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
74, explorify:badlands_pyramid, HEADING, header:ignore, 0, 0, 0
75, explorify:farmstead, HEADING, header:ignore, 0, 0, 0
76, graveyard:memorial_tree, HEADING, header:ignore, 0, 0, 0
77, graveyard:small_mountain_grave, HEADING, header:ignore, 0, 0, 0
78, explorations:jungle_temple, HEADING, header:ignore, 0, 0, 0
79, tr_slender:tankers, HEADING, header:ignore, 0, 0, 0
80, terralith:underground/oak_cabin, HEADING, header:ignore, 0, 0, 0
81, terralith:underground/giant_bee_hive, HEADING, header:ignore, 0, 0, 0
82, terralith:underground/mining_outpost, HEADING, header:ignore, 0, 0, 0
83, terralith:underground/old_refinery, HEADING, header:ignore, 0, 0, 0
84, terralith:underground/sunken_tower, HEADING, header:ignore, 0, 0, 0
85, terralith:underground/witch_hut, HEADING, header:ignore, 0, 0, 0
86, tr_slender:choppedtrees, HEADING, header:ignore, 0, 0, 0
87, explorations:forgotten_well, HEADING, header:ignore, 0, 0, 0
88, graveyard:crypt, HEADING, header:ignore, 0, 0, 0
89, graveyard:crypt, MONSTER, graveyard:acolyte, 25, 1, 1
90, graveyard:crypt, MONSTER, graveyard:corrupted_vindicator, 35, 1, 3
91, graveyard:crypt, MONSTER, graveyard:corrupted_pillager, 35, 1, 3
92, tr_slender:bathrooms4, HEADING, header:ignore, 0, 0, 0
93, explorify:ruins, HEADING, header:ignore, 0, 0, 0
94, explorify:supply_cache/birch, HEADING, header:ignore, 0, 0, 0
95, explorify:supply_cache/dark, HEADING, header:ignore, 0, 0, 0
96, explorify:supply_cache/desert, HEADING, header:ignore, 0, 0, 0
97, explorify:supply_cache/forest, HEADING, header:ignore, 0, 0, 0
98, explorify:supply_cache/jungle, HEADING, header:ignore, 0, 0, 0
99, explorify:supply_cache/mangrove, HEADING, header:ignore, 0, 0, 0
100, explorify:supply_cache/taiga, HEADING, header:ignore, 0, 0, 0
101, graveyard:mushroom_grave, HEADING, header:ignore, 0, 0, 0
102, explorify:campsite, HEADING, header:ignore, 0, 0, 0
103, graveyard:small_desert_graveyard, HEADING, header:ignore, 0, 0, 0
104, graveyard:small_desert_graveyard, MONSTER, minecraft:vindicator, 10, 1, 1
105, graveyard:small_desert_graveyard, MONSTER, minecraft:pillager, 10, 1, 1
106, explorations:desert_ruin, HEADING, header:ignore, 0, 0, 0
107, explorify:watchtower/plains, HEADING, header:ignore, 0, 0, 0
108, explorify:watchtower/taiga, HEADING, header:ignore, 0, 0, 0
109, explorify:watchtower/savanna, HEADING, header:ignore, 0, 0, 0
110, graveyard:large_graveyard, HEADING, header:ignore, 0, 0, 0
111, graveyard:large_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
112, graveyard:large_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
113, graveyard:large_graveyard, MONSTER, graveyard:ghoul, 50, 2, 4
114, explorify:tavern, HEADING, header:ignore, 0, 0, 0
115, explorations:underground_temple, HEADING, header:ignore, 0, 0, 0
116, explorations:underground_temple, MONSTER, minecraft:illusioner, 80, 4, 9
117, explorations:underground_temple, MONSTER, minecraft:pillager, 80, 4, 9
118, explorations:underground_temple, MONSTER, minecraft:vindicator, 80, 4, 9
119, graveyard:lich_prison, HEADING, header:ignore, 0, 0, 0
120, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
121, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 80, 4, 15
122, explorations:slime_cave, HEADING, header:ignore, 0, 0, 0
123, graveyard:giant_mushroom, HEADING, header:ignore, 0, 0, 0
124, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
125, bettermineshafts:mineshaft_acacia, AMBIENT, alexsmobs:underminer, 50, 1, 1
126, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
127, bettermineshafts:mineshaft_desert, AMBIENT, alexsmobs:underminer, 50, 1, 1
128, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
129, bettermineshafts:mineshaft_ice, AMBIENT, alexsmobs:underminer, 50, 1, 1
130, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
131, bettermineshafts:mineshaft_jungle, AMBIENT, alexsmobs:underminer, 50, 1, 1
132, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
133, bettermineshafts:mineshaft_lush, AMBIENT, alexsmobs:underminer, 50, 1, 1
134, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
135, bettermineshafts:mineshaft_mesa, AMBIENT, alexsmobs:underminer, 50, 1, 1
136, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
137, bettermineshafts:mineshaft_mushroom, AMBIENT, alexsmobs:underminer, 50, 1, 1
138, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
139, bettermineshafts:mineshaft_oak, AMBIENT, alexsmobs:underminer, 50, 1, 1
140, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
141, bettermineshafts:mineshaft_red_desert, AMBIENT, alexsmobs:underminer, 50, 1, 1
142, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
143, bettermineshafts:mineshaft_spruce, AMBIENT, alexsmobs:underminer, 50, 1, 1
144, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
145, bettermineshafts:mineshaft_spruce_snowy, AMBIENT, alexsmobs:underminer, 50, 1, 1
146, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
147, bettermineshafts:mineshaft_overgrown, AMBIENT, alexsmobs:underminer, 50, 1, 1
148, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
149, bettermineshafts:mineshaft_dripstone, AMBIENT, alexsmobs:underminer, 50, 1, 1
150, graveyard:small_savanna_grave, HEADING, header:ignore, 0, 0, 0
151, tr_slender:crosswalls, HEADING, header:ignore, 0, 0, 0
152, explorify:desert_shrine, HEADING, header:ignore, 0, 0, 0
153, graveyard:small_grave, HEADING, header:ignore, 0, 0, 0
154, the_silence:vhs_monster, HEADING, header:ignore, 0, 0, 0
155, explorations:campsite, HEADING, header:ignore, 0, 0, 0
156, betteroceanmonuments:ocean_monument, HEADING, header:ignore, 0, 0, 0
157, betteroceanmonuments:ocean_monument, MONSTER, minecraft:guardian, 10, 0, 0
158, tr_slender:tunnel, HEADING, header:ignore, 0, 0, 0
159, graveyard:small_graveyard, HEADING, header:ignore, 0, 0, 0
160, graveyard:small_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
161, graveyard:small_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
162, graveyard:small_graveyard, MONSTER, graveyard:ghoul, 50, 1, 2
163, tr_slender:taintedtreepage, HEADING, header:ignore, 0, 0, 0
164, graveyard:haunted_house, HEADING, header:ignore, 0, 0, 0
165, tr_slender:wagon, HEADING, header:ignore, 0, 0, 0
166, midnightlurker:outcastvillagerhouse, HEADING, header:ignore, 0, 0, 0
167, terralith:glacial_hut, HEADING, header:ignore, 0, 0, 0
168, graveyard:small_desert_grave, HEADING, header:ignore, 0, 0, 0
169, tr_slender:oldhut, HEADING, header:ignore, 0, 0, 0
170, explorations:floating_island, HEADING, header:ignore, 0, 0, 0
171, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
172, betterstrongholds:stronghold, HEADING, header:ignore, 0, 0, 0
173, explorations:logs, HEADING, header:ignore, 0, 0, 0
174, graveyard:dead_tree, HEADING, header:ignore, 0, 0, 0
175, explorify:mausoleum, HEADING, header:ignore, 0, 0, 0
176, graveyard:altar, HEADING, header:ignore, 0, 0, 0
177, graveyard:medium_graveyard, HEADING, header:ignore, 0, 0, 0
178, graveyard:medium_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
179, graveyard:medium_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
180, graveyard:medium_graveyard, MONSTER, graveyard:ghoul, 50, 2, 4
181, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
182, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 80, 4, 15
183, explorify:black_spiral, HEADING, header:ignore, 0, 0, 0
184, tr_slender:silo, HEADING, header:ignore, 0, 0, 0
185, midnight:forgotten_library, HEADING, header:ignore, 0, 0, 0
186, graveyard:ruins, HEADING, header:ignore, 0, 0, 0
187, graveyard:ruins, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
188, graveyard:ruins, MONSTER, graveyard:revenant, 45, 1, 3
189, graveyard:ruins, MONSTER, graveyard:ghoul, 50, 1, 2
190, terralith:zpointer/minecraft_ice_spikes, HEADING, header:ignore, 0, 0, 0
191, terralith:zpointer/terralith_volcanic_crater, HEADING, header:ignore, 0, 0, 0
192, terralith:zpointer/terralith_skylands_summer, HEADING, header:ignore, 0, 0, 0
193, terralith:zpointer/minecraft_snowy_beach, HEADING, header:ignore, 0, 0, 0
194, terralith:zpointer/terralith_moonlight_grove, HEADING, header:ignore, 0, 0, 0
195, terralith:zpointer/terralith_birch_taiga, HEADING, header:ignore, 0, 0, 0
196, terralith:zpointer/terralith_desert_spires, HEADING, header:ignore, 0, 0, 0
197, terralith:zpointer/terralith_gravel_beach, HEADING, header:ignore, 0, 0, 0
198, terralith:zpointer/terralith_skylands, HEADING, header:ignore, 0, 0, 0
199, terralith:zpointer/terralith_mountain_steppe, HEADING, header:ignore, 0, 0, 0
200, terralith:zpointer/terralith_blooming_plateau, HEADING, header:ignore, 0, 0, 0
201, terralith:zpointer/minecraft_deep_lukewarm_ocean, HEADING, header:ignore, 0, 0, 0
202, terralith:zpointer/minecraft_windswept_forest, HEADING, header:ignore, 0, 0, 0
203, terralith:zpointer/minecraft_badlands, HEADING, header:ignore, 0, 0, 0
204, terralith:zpointer/terralith_snowy_badlands, HEADING, header:ignore, 0, 0, 0
205, terralith:zpointer/terralith_painted_mountains, HEADING, header:ignore, 0, 0, 0
206, terralith:zpointer/terralith_skylands_spring, HEADING, header:ignore, 0, 0, 0
207, terralith:zpointer/minecraft_sunflower_plains, HEADING, header:ignore, 0, 0, 0
208, terralith:zpointer/terralith_warm_river, HEADING, header:ignore, 0, 0, 0
209, terralith:zpointer/minecraft_old_growth_spruce_taiga, HEADING, header:ignore, 0, 0, 0
210, terralith:zpointer/terralith_white_cliffs, HEADING, header:ignore, 0, 0, 0
211, terralith:zpointer/minecraft_bamboo_jungle, HEADING, header:ignore, 0, 0, 0
212, terralith:zpointer/terralith_siberian_grove, HEADING, header:ignore, 0, 0, 0
213, terralith:zpointer/minecraft_ocean, HEADING, header:ignore, 0, 0, 0
214, terralith:zpointer/terralith_rocky_mountains, HEADING, header:ignore, 0, 0, 0
215, terralith:zpointer/terralith_warped_mesa, HEADING, header:ignore, 0, 0, 0
216, midnight:ruined_gatehouse, HEADING, header:ignore, 0, 0, 0
217, terralith:zpointer/terralith_forested_highlands, HEADING, header:ignore, 0, 0, 0
218, terralith:zpointer/terralith_yosemite_lowlands, HEADING, header:ignore, 0, 0, 0
219, terralith:zpointer/minecraft_old_growth_birch_forest, HEADING, header:ignore, 0, 0, 0
220, terralith:zpointer/minecraft_frozen_ocean, HEADING, header:ignore, 0, 0, 0
221, terralith:zpointer/minecraft_deep_cold_ocean, HEADING, header:ignore, 0, 0, 0
222, terralith:zpointer/terralith_savanna_badlands, HEADING, header:ignore, 0, 0, 0
223, terralith:zpointer/minecraft_birch_forest, HEADING, header:ignore, 0, 0, 0
224, terralith:zpointer/terralith_skylands_winter, HEADING, header:ignore, 0, 0, 0
225, terralith:zpointer/minecraft_beach, HEADING, header:ignore, 0, 0, 0
226, terralith:zpointer/minecraft_snowy_taiga, HEADING, header:ignore, 0, 0, 0
227, terralith:zpointer/terralith_ice_marsh, HEADING, header:ignore, 0, 0, 0
228, terralith:zpointer/terralith_blooming_valley, HEADING, header:ignore, 0, 0, 0
229, terralith:zpointer/minecraft_plains, HEADING, header:ignore, 0, 0, 0
230, terralith:zpointer/minecraft_flower_forest, HEADING, header:ignore, 0, 0, 0
231, terralith:zpointer/terralith_shrubland, HEADING, header:ignore, 0, 0, 0
232, terralith:zpointer/terralith_snowy_maple_forest, HEADING, header:ignore, 0, 0, 0
233, terralith:underground_cabin, HEADING, header:ignore, 0, 0, 0
234, terralith:zpointer/terralith_alpine_highlands, HEADING, header:ignore, 0, 0, 0
235, terralith:zpointer/terralith_ashen_savanna, HEADING, header:ignore, 0, 0, 0
236, terralith:zpointer/minecraft_cold_ocean, HEADING, header:ignore, 0, 0, 0
237, terralith:zpointer/minecraft_jagged_peaks, HEADING, header:ignore, 0, 0, 0
238, terralith:zpointer/minecraft_stony_shore, HEADING, header:ignore, 0, 0, 0
239, terralith:zpointer/terralith_highlands, HEADING, header:ignore, 0, 0, 0
240, terralith:zpointer/terralith_sakura_valley, HEADING, header:ignore, 0, 0, 0
241, terralith:zpointer/terralith_alpha_islands_winter, HEADING, header:ignore, 0, 0, 0
242, terralith:zpointer/minecraft_lush_caves, HEADING, header:ignore, 0, 0, 0
243, terralith:zpointer/terralith_glacial_chasm, HEADING, header:ignore, 0, 0, 0
244, terralith:zpointer/minecraft_wooded_badlands, HEADING, header:ignore, 0, 0, 0
245, terralith:zpointer/terralith_lavender_valley, HEADING, header:ignore, 0, 0, 0
246, terralith:zpointer/minecraft_snowy_slopes, HEADING, header:ignore, 0, 0, 0
247, terralith:zpointer/minecraft_grove, HEADING, header:ignore, 0, 0, 0
248, terralith:zpointer/minecraft_stony_peaks, HEADING, header:ignore, 0, 0, 0
249, terralith:zpointer/terralith_sandstone_valley, HEADING, header:ignore, 0, 0, 0
250, terralith:zpointer/terralith_scarlet_mountains, HEADING, header:ignore, 0, 0, 0
251, terralith:zpointer/minecraft_deep_warm_ocean, HEADING, header:ignore, 0, 0, 0
252, terralith:zpointer/minecraft_river, HEADING, header:ignore, 0, 0, 0
253, terralith:zpointer/terralith_temperate_highlands, HEADING, header:ignore, 0, 0, 0
254, terralith:zpointer/minecraft_desert, HEADING, header:ignore, 0, 0, 0
255, terralith:zpointer/terralith_valley_clearing, HEADING, header:ignore, 0, 0, 0
256, terralith:zpointer/minecraft_dripstone_caves, HEADING, header:ignore, 0, 0, 0
257, terralith:zpointer/terralith_snowy_shield, HEADING, header:ignore, 0, 0, 0
258, terralith:zpointer/minecraft_eroded_badlands, HEADING, header:ignore, 0, 0, 0
259, terralith:zpointer/terralith_alpha_islands, HEADING, header:ignore, 0, 0, 0
260, terralith:zpointer/minecraft_meadow, HEADING, header:ignore, 0, 0, 0
261, terralith:zpointer/minecraft_mushroom_fields, HEADING, header:ignore, 0, 0, 0
262, terralith:zpointer/terralith_rocky_shrubland, HEADING, header:ignore, 0, 0, 0
263, terralith:zpointer/terralith_granite_cliffs, HEADING, header:ignore, 0, 0, 0
264, terralith:zpointer/terralith_emerald_peaks, HEADING, header:ignore, 0, 0, 0
265, terralith:zpointer/terralith_yellowstone, HEADING, header:ignore, 0, 0, 0
266, terralith:zpointer/minecraft_savanna, HEADING, header:ignore, 0, 0, 0
267, terralith:zpointer/terralith_basalt_cliffs, HEADING, header:ignore, 0, 0, 0
268, terralith:zpointer/terralith_steppe, HEADING, header:ignore, 0, 0, 0
269, terralith:zpointer/minecraft_sparse_jungle, HEADING, header:ignore, 0, 0, 0
270, terralith:zpointer/minecraft_frozen_river, HEADING, header:ignore, 0, 0, 0
271, terralith:zpointer/terralith_yosemite_cliffs, HEADING, header:ignore, 0, 0, 0
272, terralith:zpointer/terralith_haze_mountain, HEADING, header:ignore, 0, 0, 0
273, terralith:zpointer/terralith_cloud_forest, HEADING, header:ignore, 0, 0, 0
274, terralith:zpointer/minecraft_windswept_savanna, HEADING, header:ignore, 0, 0, 0
275, terralith:zpointer/minecraft_deep_frozen_ocean, HEADING, header:ignore, 0, 0, 0
276, terralith:zpointer/minecraft_lukewarm_ocean, HEADING, header:ignore, 0, 0, 0
277, terralith:zpointer/terralith_tropical_jungle, HEADING, header:ignore, 0, 0, 0
278, terralith:zpointer/terralith_siberian_taiga, HEADING, header:ignore, 0, 0, 0
279, terralith:zpointer/minecraft_taiga, HEADING, header:ignore, 0, 0, 0
280, terralith:zpointer/terralith_lush_valley, HEADING, header:ignore, 0, 0, 0
281, terralith:zpointer/terralith_skylands_autumn, HEADING, header:ignore, 0, 0, 0
282, terralith:zpointer/minecraft_savanna_plateau, HEADING, header:ignore, 0, 0, 0
283, terralith:zpointer/minecraft_swamp, HEADING, header:ignore, 0, 0, 0
284, terralith:zpointer/terralith_rocky_jungle, HEADING, header:ignore, 0, 0, 0
285, terralith:zpointer/terralith_orchid_swamp, HEADING, header:ignore, 0, 0, 0
286, terralith:zpointer/terralith_hot_shrubland, HEADING, header:ignore, 0, 0, 0
287, terralith:zpointer/minecraft_frozen_peaks, HEADING, header:ignore, 0, 0, 0
288, terralith:zpointer/terralith_wintry_forest, HEADING, header:ignore, 0, 0, 0
289, terralith:zpointer/terralith_sakura_grove, HEADING, header:ignore, 0, 0, 0
290, terralith:zpointer/terralith_desert_oasis, HEADING, header:ignore, 0, 0, 0
291, terralith:zpointer/terralith_lavender_forest, HEADING, header:ignore, 0, 0, 0
292, terralith:zpointer/terralith_amethyst_rainforest, HEADING, header:ignore, 0, 0, 0
293, terralith:zpointer/terralith_mirage_isles, HEADING, header:ignore, 0, 0, 0
294, terralith:zpointer/minecraft_snowy_plains, HEADING, header:ignore, 0, 0, 0
295, terralith:zpointer/terralith_ancient_sands, HEADING, header:ignore, 0, 0, 0
296, terralith:zpointer/terralith_volcanic_peaks, HEADING, header:ignore, 0, 0, 0
297, terralith:zpointer/terralith_cold_shrubland, HEADING, header:ignore, 0, 0, 0
298, terralith:zpointer/terralith_jungle_mountains, HEADING, header:ignore, 0, 0, 0
299, terralith:zpointer/terralith_brushland, HEADING, header:ignore, 0, 0, 0
300, terralith:zpointer/minecraft_windswept_gravelly_hills, HEADING, header:ignore, 0, 0, 0
301, terralith:zpointer/terralith_moonlight_valley, HEADING, header:ignore, 0, 0, 0
302, terralith:zpointer/terralith_savanna_slopes, HEADING, header:ignore, 0, 0, 0
303, terralith:zpointer/minecraft_warm_ocean, HEADING, header:ignore, 0, 0, 0
304, terralith:zpointer/minecraft_dark_forest, HEADING, header:ignore, 0, 0, 0
305, terralith:zpointer/terralith_arid_highlands, HEADING, header:ignore, 0, 0, 0
306, terralith:zpointer/terralith_stony_spires, HEADING, header:ignore, 0, 0, 0
307, terralith:zpointer/terralith_white_mesa, HEADING, header:ignore, 0, 0, 0
308, terralith:zpointer/terralith_red_oasis, HEADING, header:ignore, 0, 0, 0
309, terralith:zpointer/minecraft_old_growth_pine_taiga, HEADING, header:ignore, 0, 0, 0
310, terralith:zpointer/terralith_frozen_cliffs, HEADING, header:ignore, 0, 0, 0
311, terralith:zpointer/terralith_desert_canyon, HEADING, header:ignore, 0, 0, 0
312, terralith:zpointer/terralith_fractured_savanna, HEADING, header:ignore, 0, 0, 0
313, terralith:zpointer/terralith_caldera, HEADING, header:ignore, 0, 0, 0
314, terralith:zpointer/terralith_bryce_canyon, HEADING, header:ignore, 0, 0, 0
315, terralith:zpointer/terralith_alpine_grove, HEADING, header:ignore, 0, 0, 0
316, terralith:zpointer/terralith_shield, HEADING, header:ignore, 0, 0, 0
317, terralith:zpointer/minecraft_jungle, HEADING, header:ignore, 0, 0, 0
318, terralith:zpointer/terralith_shield_clearing, HEADING, header:ignore, 0, 0, 0
319, terralith:zpointer/terralith_windswept_spires, HEADING, header:ignore, 0, 0, 0
320, terralith:zpointer/terralith_amethyst_canyon, HEADING, header:ignore, 0, 0, 0
321, terralith:zpointer/minecraft_windswept_hills, HEADING, header:ignore, 0, 0, 0
322, terralith:zpointer/minecraft_deep_ocean, HEADING, header:ignore, 0, 0, 0
323, terralith:zpointer/terralith_gravel_desert, HEADING, header:ignore, 0, 0, 0
324, terralith:zpointer/minecraft_forest, HEADING, header:ignore, 0, 0, 0
